code_postale;label;lat;long
06390;coaraze;43.866233195;7.299283018
06910;sigale;43.875573985;6.966258326
05000;neffes;44.496092067;6.025969136
06160;antibes;43.587761948;7.105220285
05000;la batie vieille;44.5550657;6.15611446
05000;la rochette;44.593102898;6.149168756
06130;grasse;43.655947795;6.931948216
06140;vence;43.738599753;7.10175145
05000;gap;44.580236774;6.064846144
06150;cannes;43.552044875;7.004779118
06110;le cannet;43.572966724;7.00509904
06190;roquebrune cap martin;43.764014213;7.458465918
06140;tourrettes sur loup;43.717255775;7.039136741
05000;chateauvieux;44.484012446;6.051588244
05000;rambaud;44.546852116;6.131984678
06140;coursegoules;43.791274853;7.035702338
06100;nice;43.712363989;7.237937874
05000;la freissinouse;44.535312908;6.008660299
05000;pelleautier;44.510217516;5.999416634
04500;allemagne en provence;43.78872288;6.030340492
04150;banon;44.026971873;5.649836991
04120;castellane;43.844877027;6.490135474
04530;la condamine chatelard;44.462514712;6.696740237
04160;l escale;44.081555126;6.034690847
04170;lambruisse;44.044891154;6.445578878
04510;mallemoisson;44.041625328;6.118316981
04500;montagnac montpezat;43.766551128;6.094529059
04170;la mure argens;44.016829213;6.53211105
04110;reillanne;43.88620694;5.659303427
04110;ste croix a lauze;43.904162192;5.616018077
04140;st martin les seyne;44.38274115;6.256089881
04140;seyne les alpes;44.339132202;6.384349443
04150;simiane la rotonde;43.983812399;5.562440077
04170;thorame haute;44.085874335;6.600976874
04510;aiglun;44.063525614;6.138562636
04170;allons;43.979944656;6.590007837
04510;le chaffaut st jurson;44.023005032;6.141059648
04100;manosque;43.835211125;5.791029867
04510;mirabeau;44.056632875;6.080498968
04110;montjustin;43.845410311;5.649476165
04150;montsalier;44.030024944;5.595247296
04110;oppedette;43.931181939;5.592598631
04500;quinson;43.708130947;6.022570063
04150;redortiers;44.09782088;5.614304495
04500;riez;43.828104868;6.082981449
04500;st laurent du verdon;43.72133856;6.068743021
04130;volx;43.871093244;5.831007048
04170;angles;43.944118651;6.552080036
04150;l hospitalet;44.108367467;5.706893093
04510;malijai;44.033998504;6.050637253
04110;montfuron;43.831686468;5.68830119
04150;revest des brousses;43.975680167;5.675048844
04150;la rochegiron;44.109813138;5.664069611
04150;saumane;44.08124592;5.681884937
04120;soleilhas;43.860287405;6.648283226
04170;thorame basse;44.107426583;6.489551239
04110;aubenas les alpes;43.933926212;5.676594668
04140;barles;44.272819381;6.253258479
04120;demandolx;43.869864581;6.573449828
04190;les mees;43.994664854;5.966128194
04530;val d oronaye;44.444385669;6.849917188
04140;montclar;44.401564953;6.340707691
04120;la palud sur verdon;43.796767293;6.326899957
04120;peyroules;43.817144389;6.643601794
04120;rougon;43.796622967;6.392796619
04500;roumoules;43.821581012;6.148833216
04170;st julien du verdon;43.909716409;6.545852698
04140;selonnet;44.372179233;6.293900207
04110;vacheres;43.94663916;5.635067193
04140;verdaches;44.267823479;6.343515773
04170;vergons;43.915155907;6.604225196
04180;villeneuve;43.895601657;5.857633726
04140;auzet;44.305330708;6.310897275
04160;chateau arnoux st auban;44.085162023;5.992381899
04120;la garde;43.829829243;6.571316881
04170;moriez;43.963722009;6.4626470430000005
04150;revest du bion;44.093859821;5.540549029
04170;st andre les alpes;43.971540112;6.501416781
04500;ste croix du verdon;43.76430696;6.151769775
04530;st paul sur ubaye;44.559030893;6.820763507
04140;le vernet;44.276508863;6.403266408
04110;villemus;43.861713149;5.709298401
05600;ceillac;44.652634828;6.803482883
05600;eygliers;44.692983473;6.667227336
05600;mont dauphin;44.669061454;6.624662426
05600;st crepin;44.724680582;6.635500617
05600;reotier;44.681335205;6.564118714
05600;risoul;44.624541358;6.623016283
05600;guillestre;44.667624023;6.700554933
05600;st clement sur durance;44.647524808;6.560668027
04700;oraison;43.911273496;5.924809757
04000;la robine sur galabre;44.192598994;6.230725886
06420;bairols;43.98717203;7.119553338
06400;cannes;43.552044875;7.004779118
06470;entraunes;44.21459724;6.762868362
06460;escragnolles;43.729492659;6.783590869
06440;luceram;43.901066039;7.352197638
06420;marie;44.034521472;7.157739659
06440;peillon;43.772891591;7.371900725
06470;peone;44.129970497;6.92137539
06450;st martin vesubie;44.102178266;7.302778686
06470;sauze;44.085380154;6.801119616
06470;villeneuve d entraunes;44.121920142;6.781482107
04000;digne les bains;44.090710201;6.235848586
04000;la javie;44.197120293;6.322251467
06470;beuil;44.108478227;6.972218344
06410;biot;43.628007144;7.08335122
06420;isola;44.187513052;7.074938673
06440;peille;43.806648629;7.411504042
06450;utelle;43.927546341;7.238821475
06450;venanson;44.041650523;7.238730977
06430;la brigue;44.071691811;7.651378687
04700;la brillanne;43.931944803;5.884425381
04700;entrevennes;43.938338945;6.033920578
06450;belvedere;44.056319057;7.373545722
06450;la bollene vesubie;43.995641033;7.372031769
06470;chateauneuf d entraunes;44.163644006;6.834818939
06420;ilonse;44.035069016;7.090305268
06420;rimplas;44.102467102;7.14524
06420;st sauveur sur tinee;44.121400348;7.118292814
06440;touet de l escarene;43.852255883;7.377939688
06420;la tour;43.962705995;7.200508934
06420;tournefort;43.941408648;7.158713326
06420;valdeblore;44.112931743;7.195957589
06430;tende;44.099792877;7.540536917
04700;le castellet;43.919932559;5.979391537
